"dong","longitude","latitude"
"신당동",127.0194523,37.5615738
"신대방동",126.9166265,37.4915587
"신도림동",126.8805914,37.5077345
"신림동",126.9383251,37.4626176
"신문로1가",126.9738934,37.5700056
"신문로2가",126.9690668,37.5707373
"신사동",127.022883,37.524124
"신설동",127.0254662,37.5748653
"신수동",126.934558,37.5468417
"신원동",127.0614206,37.4446745
"신월동",126.8365553,37.519981
"신정동",126.8638714,37.5166014
"신천동",127.0995,37.5200705
"신촌동",126.9435838,37.5594793
"쌍문동",127.0304855,37.6522545
"아현동",126.9569379,37.5541171
"안국동",126.983616,37.5771212
"안암동1가",127.0215331,37.5884727
"안암동5가",127.0290956,37.5866998
"암사동",127.1304539,37.558248
"압구정동",127.0302926,37.531684
"양재동",127.0381702,37.4731977
"양평동",126.888352,37.5390834
"양평동1가",126.8886362,37.5231632
"양평동2가",126.8839827,37.5233465
"양평동3가",126.8924107,37.5289951
"양평동4가",126.8960904,37.5361297
"양평동5가",126.8928726,37.5399253
"양평동6가",126.8890103,37.542319
"양화동",126.8890567,37.5483754
"여의도동",126.9345308,37.5175402
"역삼동",127.0373932,37.4999072
"역촌동",126.9169535,37.6044517
"연건동",127.0043003,37.5769232
"연남동",126.9220027,37.5644783
"연지동",126.9999636,37.5734515
"연희동",126.9325254,37.5717975
"염리동",126.9476266,37.5496169
"염창동",126.8717993,37.5540319
"영등포동",126.8962283,37.5263715
"영등포동1가",126.9129245,37.5175327
"영등포동2가",126.911986,37.5212309
"영등포동3가",126.907807,37.5177549
"영등포동4가",126.9037763,37.5175989
"영등포동5가",126.9067076,37.5210958
"영등포동7가",126.9070793,37.5243728
"영등포동8가",126.905394,37.5283387
"예관동",126.9985618,37.5644436
"예장동",126.9896164,37.5551027
"오금동",127.1278734,37.5029895
"오류동",126.8385254,37.4901258
"옥수동",127.0134664,37.5435935
"옥인동",126.9617495,37.5841277
"온수동",126.8206441,37.4939934
"와룡동",126.9927447,37.581994
"외발산동",126.8210719,37.5472236
"용강동",126.9416684,37.5417874
"용답동",127.0554067,37.5640647
"용두동",127.0302138,37.5762288
"용산동2가",126.9835695,37.5407943
"용산동3가",126.9774863,37.5319856
"용산동4가",126.9842601,37.5308455
"용산동5가",126.9746368,37.5261782
"용산동6가",126.9841218,37.523327
"우면동",127.0164423,37.4651959
"우이동",127.0118806,37.6479697
"원서동",126.9887674,37.580603
"원지동",127.0498797,37.4423018
"원효로1가",126.9674607,37.5399325
"원효로2가",126.9628655,37.5360037
"원효로3가",126.95735,37.5347545
"원효로4가",126.9504725,37.5323003
"월계동",127.0568215,37.6277451
"을지로1가",126.980979,37.5653
"을지로2가",126.9850802,37.5658904
"을지로3가",126.9916862,37.5661262
"을지로4가",126.9978028,37.5664649
"을지로5가",127.0025169,37.5664267
"을지로6가",127.0076666,37.5686986
"을지로7가",127.0097427,37.5661787
"응봉동",127.0341139,37.5505499
"응암동",126.9205206,37.5926646
"의주로1가",126.9681904,37.564763
"의주로2가",126.9704573,37.5593075
"이문동",127.0655265,37.6004162
"이촌동",126.9660695,37.5161216
"이태원동",126.9921017,37.5400456
"이화동",127.0043003,37.5769232
"익선동",126.989835,37.5742793
"인사동",126.9862326,37.5716555
"인의동",126.9974345,37.5722313
"인현동1가",126.9940488,37.5640095
"인현동2가",126.9958793,37.5638519
"일원동",127.0801089,37.4810133
"자곡동",127.0950243,37.474172
"자양동",127.0715809,37.5324005
"잠실동",127.0842945,37.5061273
"잠원동",127.0143281,37.514847
"장안동",127.0706515,37.570627
"장위동",127.0507954,37.6156087
"장지동",127.1285282,37.4773867
"장충동1가",127.0076024,37.5608027
"장충동2가",127.0021234,37.5553677
"재동",126.9851898,37.5784073
"저동1가",126.9879413,37.5642948
"저동2가",126.9897269,37.5641406
"적선동",126.9739195,37.5745573
"전농동",127.0554405,37.5792622
"정동",126.9728716,37.5665684
"정릉동",127.0002306,37.6144929
"제기동",127.0367969,37.5833567
"종로1가",126.9802978,37.5701623
"종로3가",126.9919515,37.5703665
"종로4가",126.9971121,37.5705927
"종로5가",127.0038437,37.5704682
"종로6가",127.0078329,37.571853
"종암동",127.031602,37.6001709
"주교동",126.9993778,37.5682819
"주성동",126.9998472,37.5211485
"중계동",127.0831273,37.6514398
"중곡동",127.0853672,37.5626197
"중동",126.9048389,37.5725438
"중학동",126.9797383,37.5751853
"중화동",127.0778661,37.5995064
"증산동",126.907314,37.5849961
"진관동",126.9421897,37.6413466
"창동",127.0433646,37.648965
"창성동",126.9723526,37.5806564
"창신동",127.0121575,37.5750914
"창전동",126.9309867,37.5501124
"창천동",126.9345627,37.5584944
"천왕동",126.8415075,37.4803813
"천호동",127.1256452,37.5439937
"청담동",127.0486655,37.5231998
"청량리동",127.0445965,37.588908
"청암동",126.9461605,37.5343891
"청운동",126.9697192,37.5893662
"청진동",126.9800747,37.5713803
"청파동1가",126.9670874,37.5489827
"청파동2가",126.9680402,37.54585
"청파동3가",126.9675767,37.5433425
"충무로1가",126.9825464,37.5609432
"충무로2가",126.9877434,37.5615919
"충무로3가",126.9909515,37.5622214
"충무로4가",126.996153,37.5622705
"충정로1가",126.9681594,37.5665316
"충정로2가",126.9640448,37.5646792
"충정로3가",126.9616111,37.5618617
"태평로1가",126.9771635,37.5679872
"태평로2가",126.9765618,37.5630763
"통의동",126.973046,37.5779493
"평창동",126.9668582,37.6053351
"풍납동",127.1134887,37.5327384
"필동2가",126.9946111,37.5598189
"필운동",126.9678162,37.5777124
"하계동",127.0725939,37.637576
"하왕십리동",127.0279598,37.5689559
"하월곡동",127.0409997,37.6041779
"하중동",126.9277011,37.5429708
"한강로1가",126.9730964,37.5375702
"한강로2가",126.9696924,37.5316834
"한강로3가",126.9606764,37.5290923
"한남동",127.0062454,37.5311789
"합동",126.9662947,37.5617452
"합정동",126.9101219,37.5463089
"행당동",127.0347413,37.5574629
"현석동",126.9344434,37.5417383
"혜화동",127.0003554,37.586755
"홍은동",126.9319759,37.5871322
"홍익동",127.0317252,37.5662961
"홍제동",126.9489831,37.5855112
"화곡동",126.8471024,37.5381184
"화양동",127.073456,37.5435547
"황학동",127.0214099,37.5674517
"회기동",127.055128,37.5907275
"회현동1가",126.981124,37.5566746
"회현동2가",126.9829133,37.5589433
"효자동",126.9720569,37.5826279
"효창동",126.9613055,37.5417318
"후암동",126.9814212,37.5498915
"휘경동",127.0636187,37.5900176
"흑석동",126.9605285,37.5094857
"흥인동",127.0167756,37.5674439
